Ingested		
DEVRYACD.BNR_TO_PROSAM_ATTRIBUTES_DEBUG			
DEVRYACD.BNR_TO_PROSAM_ATTRIBUTES_TEMP			
DEVRYACD.BNR_TO_PROSAM_ATT_TEMP_BAK			
DEVRYACD.BNR_TO_PROSAM_ATT_TEMP_BAK1			
DEVRYACD.BNR_TO_PROSAM_ELEMENTS			
DEVRYACD.BNR_TO_PROSAM_ENROLL			
DEVRYACD.BNR_TO_PROSAM_ENROLL_DEBUG			
DEVRYACD.BNR_TO_PROSAM_ENROLL_TEMP			
DEVRYACD.BNR_TO_PROSAM_MSG_GROUP_ELEMS			
DEVRYACD.BNR_TO_PROSAM_MSG_GROUPS			
DEVRYACD.BNR_TO_PROSAM_SESS_DATA			
DEVRYACD.BNR_TO_PROSAM_SESS_DATA_DEBUG			
DEVRYACD.BNR_TO_PROSAM_SESS_DATA_TEMP			
DEVRYACD.BNR_TO_PROSAM_SESS_TEMP_BAK			
DEVRYACD.BNR_TO_PROSAM_STANDING			
DEVRYACD.BNR_TO_PROSAM_STANDING_DEBUG			
DEVRYACD.BNR_TO_PROSAM_STANDING_TEMP			
DEVRYACD.CU_NAME_CHG_SPRIDEN_STG			
DEVRYACD.DAP_AUDIT			
DEVRYACD.DAP_CONC			
DEVRYACD.DAP_GPAS			
DEVRYACD.DAP_HRSCOMP			
DEVRYACD.DAP_INPROG_HRS			
DEVRYACD.DAP_MAJR			
DEVRYACD.DAP_PERC			
DEVRYACD.DAP_PROG_DEGC			
DEVRYACD.DAP_PROGHRS			
DEVRYACD.DATABASECHANGELOG			
DEVRYACD.DATABASECHANGELOGLOCK			
DEVRYACD.ECOLLEGE_XWALK			
DEVRYACD.ER8105_TEMP			
DEVRYACD.EZPROXY_CONV_DOB_ENCRYPT			
DEVRYACD.EZPROXY_CRITERIA			
DEVRYACD.EZPROXY_LOCATIONS			
DEVRYACD.GZBCNTL			
DEVRYACD.GZREAUD			
DEVRYACD.HEADERS_AVAILTEMPLATERULES			
DEVRYACD.HEADERS_AVAILTEMPLATES			
DEVRYACD.HEADERS_EDUCATIONLVL			
DEVRYACD.HEADERS_INSTRUCTORCOURSECAMP			
DEVRYACD.HEADERS_INSTRUCTORCOURSES			
DEVRYACD.HEADERS_INSTRUCTORS			
DEVRYACD.HEADERS_INSTRUCTORTYPELOADS			
DEVRYACD.HEADERS_INSTRUCTORTYPES			
DEVRYACD.PSAM_INTG_CRSWLK			
DEVRYACD.RIGHTNOW_FUTURE_UPDATES			
DEVRYACD.RZB_ISOCOUNTRY			
DEVRYACD.SCRIBE_HUB_BATCH_DTL			
DEVRYACD.SESSDATA_ACTIVITY_DATES			
DEVRYACD.SFRSTCR_LDA_TBL			
DEVRYACD.STUDENT_USE_EMAIL_CREATE			
DEVRYACD.STVMCMP			
DEVRYACD.STVMPGM			
DEVRYACD.STVMZIP			
DEVRYACD.SZBASTD			
DEVRYACD.SZBCERT			
DEVRYACD.SZBESCP			
DEVRYACD.SZBRFND			
DEVRYACD.SZBRFND_DEV03_BACKUP			
DEVRYACD.SZCNVSA			
DEVRYACD.SZCNVSA_FILES			
DEVRYACD.SZCNVSC			
DEVRYACD.SZCNVSC_FILES			
DEVRYACD.SZCNVSE			
DEVRYACD.SZCNVSE_FILES			
DEVRYACD.SZCNVSS			
DEVRYACD.SZCNVST			
DEVRYACD.SZCNVST_FILES			
DEVRYACD.SZCNVSU			
DEVRYACD.SZCNVSU_FILES			
DEVRYACD.SZCNVSW			
DEVRYACD.SZCNVSX			
DEVRYACD.SZCNVXR			
DEVRYACD.SZ_CONVERSION_ERRORS			
DEVRYACD.SZECGRPT			
DEVRYACD.SZ_ERROR_LOG			
DEVRYACD.SZMVMCN			
DEVRYACD.SZMVMDV			
DEVRYACD.SZPMCMC			
DEVRYACD.SZPRGAM_STUDENTS_TBL			
DEVRYACD.SZRAFLT			
DEVRYACD.SZRASCL			
DEVRYACD.SZRASER			
DEVRYACD.SZRASMG			
DEVRYACD.SZRASRV			
DEVRYACD.SZRASSG			
DEVRYACD.SZRASSH			
DEVRYACD.SZRASTH			
DEVRYACD.SZRAVSP			
DEVRYACD.SZRAVSS			
DEVRYACD.SZRCDGW_AUDIT			
